nom,effectif,filiere
GP_GCI,50,Génie Civil
GP_ENR,50,Énergies Renouvelables
GP_AD,50,Analytique des Données
GP_IDAI,50,Ingénierie de Développement d'Applications Informatiques
GP_SSD,50,Statistique et Science des Données
GP_MID,50,Mathématiques et Informatique Décisionnelles
GP_BIO,50,Biotechnologies
GP_GDP,50,Génie des Procédés
GP_TAC,50,Techniques d'Analyses Chimiques
GP_RRN,50,Risques et Ressources Naturels
GP_GESI,50,Génie Électrique & Système Industriel
GP_GIN,50,Génie Industriel
GP_DIP,50,Design Industriel et Productique
